ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
368;El vuelo del moscardon;Rimsky-Korsakov; Nicolai;1' 21;;
369;Zigeunerweisen;Sarasate; Pablo;20;8' 22;
370;Quinteto per archi n. 2;Boccherini; Luigi;Fa M;50 / 2;14' 41
371;Sinfonia n. 9 “Coral”;Beethoven; Ludwig Van;Re m;125;67' 32
372;Danza hungara n. 13;Brahms; Johannes;1' 30;;
373;Sinfonia n. 2;Beethoven; Ludwig Van;Re M;36;34' 58
374;Quinteto n. 1 para dos violines, dos altos, violonchelo;Boccherini; Luigi;La m;47 / 1;17' 35
375;Vals Bombones vieneses;Strauss; Johann (Hijo);307;3' 49;
376;Cuentos de los bosques de Viena;Strauss; Johann (Hijo);325;12' 22;
377;Concierto para orquesta;Bartok; Bela;SZ 116;37' 22;
378;Obertura solemne “1812”;Tchaikovsky; Piotr Ilyich;49;16' 45;
379;El anillo del nibelungo;Wagner; Richard;76' 46;;
380;Concierto para piano y orquesta n. 1;Brahms; Johannes;Re m;15;48' 22
381;Gran Fuga;Beethoven; Ludwig Van;Si b M;133;15' 31
382;Amor de poeta;Schumann; Robert;48;28' 43;
383;Dormidos, despertad, la voz llama (Arreglo orquestal);Bach; Johann Sebastian;BWV 0140;4' 35;
384;Tendres reproches;Tchaikovsky; Piotr Ilyich;Do # m;072 / 03;2' 24
385;Pedro y el lobo (ingles);Prokofiev; Serge;67;29' 21;
386;Momento Musical;Rachmaninov; Sergei;Do M;16-jun;3' 52
387;Concierto de Branderburgo n. 2;Bach; Johann Sebastian;Fa M;BWV 1047;13' 06
388;U suegno en la floresta;Barrios; Agustin;7' 10;;
389;Preludios – Segundo Libro;Debussy; Claude;21' 12;;
390;El suegno de una noche de verano;Mendelssohn-Bartholdy; Felix;61;48' 44;
391;La bella excentrica;Satie; Erik;7' 47;;
392;Romance;Tchaikovsky; Piotr Ilyich;Fa m;5;5' 49
393;Mazurca;Falla; Manuel de;4' 58;;
394;Concierto para trompeta y orquesta;Haydn; Franz Joseph;Mi b M;14' 20;
395;Funerales;Liszt; Franz;G 173 / 7;11' 43;
396;Preludios fofos (para un perro) para piano;Satie; Erik;4' 35;;
397;Romance;Tchaikovsky; Piotr Ilyich;Fa m;5;5' 33
398;Pavana n. 5;Milan; Luis;1' 04;;
399;Sinfonia n. 1;Balakirev; Mili;Do M;42' 48;
400;Nocturno n. 20;Chopin; Frederic;Do # M;Postumo;4' 35
401;Concerto “L'amoroso”;Vivaldi; Antonio;Mi M;RV 271;11' 08
402;Tamara;Balakirev; Mili;22' 54;;
403;Concierto para violin;Elgar; Edward;Si m;61;54' 00
404;Porgy & Bess. Suite sinfonica.;Gershwin; George;31' 19;;
405;Gayane. Suite n. 1;Khachaturian; Aram;15' 19;;
406;Gisella;Adam; Adolphe;23' 30;;
407;Lelisir damore;Donizetti; Gaetano;77' 09;;
408;Estudios sinfonicos;Schumann; Robert;13;35' 40;
409;Bolero;Ravel; Maurice;14' 48;;
410;Marcha rusa;Strauss; Johann (Hijo);426;2' 24;
411;Romeo y Julieta;Prokofiev; Serge;64;48' 24;
412;Sonata para piano n. 14;Mozart; Wolfgang Amadeus;Do m;K 457;20' 46
413;Suite para trompeta y orquesta;Haendel; Georges Friederic;7' 54;;
414;Sinfonia n. 1;Beethoven; Ludwig Van;Do M;21;23' 27
415;En las estepas de Asia Central;Borodin; Alexander;6' 44;;
416;Rapsodia hungara n. 5;Liszt; Franz;12' 51;;
417;El cazador furtivo. Obertura.;Weber; Carl Maria von;10' 04;;
418;Irmelin Prelude;Delius; Frederick;5' 03;;
419;Vals n. 12;Chopin; Frederic;Fa m;70 / 2;2' 25
420;Vistes al mar;Toldra; Eduard;16' 00;;
421;Nueve himnos liturgicos;Tchaikovsky; Piotr Ilyich;27' 09;;
422;Vals El bello danubio azul;Strauss; Johann (Hijo);314;10' 54;
423;Masques y Bergamasques;Faure; Gabriel;112;15' 03;
424;Romance de los pinos;Moreno-Torraba; Federico;1' 52;;
425;Badinerie;Corelli; Arcangelo;0' 58;;
426;Suite del Ballet “El Cascanueces”;Tchaikovsky; Piotr Ilyich;071 a;23' 06;
427;Scherzo n. 1;Schubert; Franz;D 593;6' 08;
428;Vals del emperador;Strauss; Johann (Hijo);437;11' 16;
429;Cuarteto de cuerdas n. 13 – Final.;Beethoven; Ludwig Van;Si b M;130;7' 47
430;Minuetto;Sor; Ferdinando;2' 25;;
431;Serenata para cuerdas;Tchaikovsky; Piotr Ilyich;48;30' 44;
432;Adagio para violin y orquesta;Mozart; Wolfgang Amadeus;Mi M;K 261;7' 59
433;El vals;Ravel; Maurice;12' 24;;
434;El ahahuete recuerda;Ponce; Manuel;3' 13;;
435;Gigue;Corelli; Arcangelo;2' 28;;
436;Concierto para guitarra y orquesta de cuerdas;Giuliani; Mauro;La M;30;21' 54
437;Fuga;Bach; Johann Sebastian;Sol m;BWV 0578;3' 46
438;Los hombres son mezquinos;Schubert; Franz;D 866;2' 27;
439;Preludio n. 3;Villa-Lobos; Heitor;5' 20;;
440;Momento Musical;Rachmaninov; Sergei;Mi m;16-abr;2' 26
441;Preludio y fuga;Bach; Johann Sebastian;Fa m;BWV 0534;9' 50
442;Partita para violin solo;Bach; Johann Sebastian;Si m;BWV 1002;33' 05
443;Concierto para flauta de pico, viola de gamba, cuerdas;Telemann; Georg Philipp;La m;14' 56;
444;Concierto para piano y orquesta n. 3;Saint-Saens; Camille;29;28' 38;
445;El gallo de oro. Suite.;Rimsky-Korsakov; Nicolai;24' 02;;
446;Concierto de Branderburgo n. 1;Bach; Johann Sebastian;Fa M;BWV 1046;20' 43
447;12 Estudios;Chopin; Frederic;10;28' 36;
448;Suspiro;Elgar; Edward;70;5' 08;
449;Tannhauser;Wagner; Richard;75' 58;;
450;Nocturno n. 2;Chopin; Frederic;09-feb;3' 58;
451;Sinfonia n. 96, “Milagro”;Haydn; Franz Joseph;Re M;22' 37;
452;El arte de la fuga;Bach; Johann Sebastian;BWV 1080;72' 36;
453;Acuarelas;Strauss; Joseph;258;3' 22;
454;Nocturno n. 6;Chopin; Frederic;Sol m;15-mar;3' 57
455;Sonata para piano n. 8 “Patetica”;Beethoven; Ludwig Van;Do m;13;18' 03
456;Las dos hermanitas;Tarrega; Francisco;3' 08;;
457;Danzas Eslavas para piano a cuatro manos;Dvorak; Antonin;72;32' 45;
458;Motete “Litaniae de Beata Virgine”;De Victoria; Tomas Luis;34' 06;;
459;Sinfonia n. 3 “Eroica”;Beethoven; Ludwig Van;Mi m;55;49' 40
460;Concierto n. 4 para clavicordio, cuerdas y continuo;Bach; Johann Sebastian;La M;BWV 1055;12' 56
461;La procesion del Rocio;Turina; Joaquin;8' 45;;
462;Sinfonia n. 5;Schubert; Franz;Si b M;D 485;26' 55
463;Concierto para violin y orquesta;Tchaikovsky; Piotr Ilyich;Re M;35;33' 30
464;Impromptus;Schubert; Franz;D 935;7' 19;
465;Concierto para trompeta y orquesta n. 1;Baldassare; Pietro;Fa M;7' 31;
466;Divertimento n. 4;Mozart; Wolfgang Amadeus;11' 05;;
467;Triosonata n. 1;Bach; Johann Sebastian;Mi b M;BWV 0525;13' 18
468;Danza hungara n. 6;Brahms; Johannes;3' 25;;
469;Sonata para piano n. 31;Beethoven; Ludwig Van;La m;110;22' 32
470;Tristan e Isolda;Wagner; Richard;76' 56;;
471;Asi hablo Zaratustra. Introduccion.;Strauss; Richard;30;1' 55;
472;Tema y Variaciones sobre sexteto de cuerda;Brahms; Johannes;Re m;18;9' 18
473;Cantando sobre las aguas;Schubert; Franz;D 774;3' 57;
474;Musica para cuerdas, percusion y celesta;Bartok; Bela;Sz 106;31' 32;
475;Concierto para piano n. 2;Bartok; Bela;Sz 095;28' 51;
476;Partita para violin solo;Bach; Johann Sebastian;Mi M;BWV 1006;19' 33
477;Obertura “Fidelio”;Beethoven; Ludwig Van;072 b;6' 57;
478;Concierto para piano n. 3;Beethoven; Ludwig Van;Do m;37;35' 41
479;Oda a Santa Cecilia;Purcell; Henry;53' 02;;
480;Gebet Nach Psalme 51 / 130;Mendelssohn-Bartholdy; Felix; ;42;24' 22
481;Preludio;Rachmaninov; Sergei;Sol m;23;3' 40
482;Dialogo;Tchaikovsky; Piotr Ilyich;Si M;072 / 08;4' 22
483;Dos piezas para pequegna orquesta;Delius; Frederick;13' 40;;
484;Concierto para piano y orquesta n. 1. 1º movimiento.;Chopin; Frederic;11;3' 40;
485;Polonesa solemne.;Dvorak; Antonin;Mi M;5' 30;
